Gen	tau_4MEFEOG	tau_5MEFE	lnL
182400	0.024368	0.024355	-347072.959
182410	0.024046	0.023999	-347088.005
182420	0.024046	0.024000	-347072.775
182430	0.024443	0.024432	-347073.874
182440	0.024225	0.024193	-347070.636
182450	0.024348	0.024296	-347069.266
182460	0.023740	0.023728	-347079.469
182470	0.024036	0.023994	-347082.822
182480	0.023860	0.023788	-347089.849
182490	0.023988	0.023908	-347070.341
182500	0.023405	0.023383	-347079.630
182510	0.024114	0.024099	-347094.578
182520	0.024131	0.024059	-347076.963
182530	0.023671	0.023609	-347054.199
182540	0.023336	0.023242	-347078.199
182550	0.023553	0.023404	-347082.993
182560	0.023905	0.023779	-347082.685
182570	0.023950	0.023798	-347073.158
182580	0.023947	0.023756	-347087.726
182590	0.023283	0.023076	-347075.506
182600	0.023840	0.023647	-347081.088
182610	0.024087	0.023910	-347079.132
182620	0.023917	0.023665	-347078.263
182630	0.023713	0.023448	-347075.843
182640	0.023713	0.023453	-347078.583
182650	0.024030	0.023745	-347067.557
182660	0.023540	0.023262	-347064.029
182670	0.022815	0.022572	-347079.938
182680	0.023554	0.023259	-347074.724
182690	0.022863	0.022593	-347065.461
182700	0.022713	0.022459	-347087.494
182710	0.022356	0.022136	-347066.451
182720	0.022353	0.022154	-347047.443
182730	0.022255	0.022063	-347055.789
182740	0.022171	0.022032	-347044.353
182750	0.022442	0.022338	-347085.377
182760	0.022166	0.022024	-347054.139
182770	0.022667	0.022532	-347075.177
182780	0.023023	0.022860	-347068.237
182790	0.022455	0.022337	-347088.946
182800	0.022734	0.022607	-347101.210
182810	0.022670	0.022510	-347078.972
182820	0.022731	0.022529	-347060.316
182830	0.022501	0.022260	-347058.108
182840	0.022874	0.022593	-347063.044
