Gen	tau_3OneOG	lnL
8900	0.021465	-418607.507
8910	0.026614	-418947.692
8920	0.046121	-412557.995
8930	0.041103	-403725.931
8940	0.042391	-404833.885
8950	0.054699	-413629.483
8960	0.047242	-419752.923
8970	0.033075	-444015.349
8980	0.029536	-420332.629
8990	0.028864	-412967.361
9000	0.040385	-426354.130
9010	0.028323	-432207.940
9020	0.016552	-421598.346
9030	0.020177	-427272.215
9040	0.016354	-444286.823
9050	0.020798	-458581.081
9060	0.035413	-402567.457
9070	0.012916	-439697.291
9080	0.036720	-431433.222
9090	0.051692	-415532.188
9100	0.032130	-445042.634
9110	0.035708	-412763.577
9120	0.051135	-413488.996
9130	0.021442	-433314.952
9140	0.040666	-404707.267
9150	0.038686	-401492.268
9160	0.014162	-436175.791
9170	0.023314	-419655.545
9180	0.025078	-426100.817
9190	0.022846	-458684.722
9200	0.040175	-402841.834
9210	0.015490	-446935.641
9220	0.064997	-414310.719
9230	0.025223	-446160.027
9240	0.062834	-417616.677
9250	0.020654	-448339.812
9260	0.042360	-419191.697
9270	0.059072	-403153.150
9280	0.043793	-440831.805
9290	0.068595	-416626.543
9300	0.038793	-422898.956
9310	0.064913	-398139.849
9320	0.035456	-410503.211
9330	0.035016	-417681.990
9340	0.031850	-417973.527
9350	0.041799	-415953.315
9360	0.014556	-431897.885
9370	0.037260	-411912.114
9380	0.039354	-442310.982
9390	0.030426	-406072.663
9400	0.049765	-405050.752
9410	0.025914	-412750.564
9420	0.028833	-406974.318
9430	0.028136	-422950.421
9440	0.017170	-429860.293
9450	0.026340	-411692.653
9460	0.018079	-420683.111
9470	0.024152	-404805.539
9480	0.015903	-422787.954
9490	0.022026	-418045.728
9500	0.027206	-404570.592
9510	0.016371	-446854.292
9520	0.035061	-410967.337
9530	0.024786	-409002.400
9540	0.014182	-442190.181
9550	0.017061	-428700.865
9560	0.016144	-431965.454
9570	0.046900	-412981.952
9580	0.021336	-429314.042
9590	0.063469	-398651.749
9600	0.034633	-417933.199
9610	0.027268	-421966.572
9620	0.035896	-417598.445
9630	0.031713	-429084.390
9640	0.021772	-420869.504
9650	0.026318	-432814.386
9660	0.035425	-418398.483
9670	0.031203	-405073.308
9680	0.028129	-437565.692
9690	0.022923	-420295.120
9700	0.024266	-416181.856
9710	0.027824	-413471.433
9720	0.027560	-396725.046
9730	0.017553	-428498.584
9740	0.014581	-426521.024
9750	0.026755	-407758.609
9760	0.015236	-436913.471
9770	0.044836	-393961.625
9780	0.034577	-397440.423
9790	0.025660	-417465.475
